sampleplotid,sampleplottype,volume,pinevol,sprucevol,decidvol,rad,blue,green,red,re1,re2,re3,nir,nirnarrow,swir1,swir2,hh,hv
483826,2,33.78,33.04,0.75,0,20,810.2206644,660.8799147,400.6310068,680,1581,1845,1864.994412,2020,982,502,7974.803956,4038.549378
483827,1,256.38,202.61,53.77,0,20,755.2283702,568.4688129,315.9617706,553.9356137,1336.384306,1625.225352,1527.313883,1771.62173,638.2072435,248.1066398,6729.383569,3955.225632
483828,1,350.74,22.45,328.3,0,20,762.559761,572.2978088,320.2559761,540.752988,1278.380478,1560.02988,1547.753984,1760.207171,668.8376494,272.6125498,8278.68371,4867.611844
483829,1,338.62,232.73,105.89,0,20,782.608,606.743,356.248,604.456,1367.06,1607.794,1610.433,1841.91,904.792,408.408,6376.891139,3168.910127
483830,1,503.03,69.98,433.05,0,20,757.1332665,559.3827655,319.3997996,497.1222445,1171.987976,1446.972946,1470.928858,1587.607214,631.5611222,272.2234469,9214.695929,4034.765903
483831,1,384.42,215.62,168.8,0,20,769.9393035,564.4348259,331.7910448,547.6268657,1252.357214,1416.705473,1386.545274,1630.166169,725.0995025,325.7651741,6656.425693,3744.595718
483832,4,264.81,0,264.81,0,20,764.7372709,569.9332994,321.1344196,566.8039715,1292.965377,1530.442464,1418.389511,1690.00611,749.5310591,321.9154786,7814.246835,4435.736709
483833,1,390.6,284.3,106.3,0,20,773.5250501,572.0611222,328.5851703,513.488978,1334.033066,1706.51002,1604.855711,1807.89479,653.3376754,269.0951904,6325.734177,4693.359494
488267,1,244.72,0,244.72,0,20,756.7038153,553.1365462,318.1485944,527.6024096,1349.740964,1697.614458,1521.125502,1818.060241,666.3313253,269.7650602,6817.046424,4428.297365
488268,1,348.41,0,348.41,0,20,764.971029,552.967033,328.2787213,494.5264735,1256.812188,1576.34965,1477.044955,1743.85015,598.8541459,248.9420579,8046.972801,3997.133468
488270,1,260.7,0,260.7,0,20,759.4944835,576.2758275,328.4052156,517.1213641,1306.464393,1576.307924,1587.125376,1785.603811,630.4533601,259.1464393,6334.412579,3639.602516
488271,1,175.9,0,175.9,0,20,760.5900498,568.4,328.4218905,505.8935323,1324.953234,1595.436816,1561.864677,1755.344279,549.9800995,220.5054726,8966.826196,4678.264484
488272,1,327.89,0,327.89,0,20,741.7784431,528.1337325,290.9550898,468.4790419,1219.972056,1474.46507,1461.526946,1633.811377,504.1596806,192.2145709,9397.446541,3597.666667
489227,1,230.58,0,230.58,0,20,750.939,564.467,320.388,506.706,1289.536,1611.682,1586.247,1771.638,675.07,287.134,8026.353535,4119.117424
489228,1,244.43,0,167.86,76.58,20,777.2711864,569.6999003,343.2452642,545.7896311,1422.983051,1796.167498,1778.264207,1981.648056,730.7607178,291.2412762,8588.525025,4847.092518
489229,1,245.45,0,244.56,0.89,20,763.3866134,570.6493506,329.6323676,555.1578422,1369.082917,1677.822178,1604.586414,1854.833167,789.7922078,325.9380619,8027.205584,4045.876904
489230,1,180.23,0,180.23,0,20,758.7942058,563.3816184,326.1128871,493.1478521,1181.143856,1499.904096,1549.236763,1661.191808,635.2277722,266.0919081,7213.92142,3517.6109
489231,1,169.54,12.92,136.37,20.24,20,777.1575274,601.2372881,349.6380857,624.6989033,1533.461615,1892.088734,1797.72682,2030.422732,840.7268195,351.440678,9181.965561,4099.977041
489870,1,317.29,0,0,317.29,20,788.3746254,597.6973027,350.5574426,651.4955045,2259.798202,2973.022977,2869.517483,3348.266733,1163.287712,419.4075924,7581.301887,3772.189937
489871,1,217.26,0,0,217.26,20,774.995992,607.7765531,343.5310621,608.1723447,1877.787575,2414.422846,2456.072144,2666.142285,1017.727455,391,10018.11168,3628.055838
490498,3,10.94,0,0,10.93,20,791.9579158,678.2835671,363.1122244,785.3877756,2690.725451,3358.344689,3562.130261,3815.475952,1449.506012,569.5390782,7952.465649,4565.811705
490508,1,269.35,0,0,269.35,20,770.0939061,588.2587413,326.2197802,589.9320679,1896.548452,2393.221778,2409.83017,2710.322677,916.5614386,323.955045,4143.906566,2325.566919
492749,4,277.31,0,277.31,0,20,742.7659898,525.4898477,287.6274112,417.5375635,986.3507614,1225.589848,1210.241624,1324.400508,452.1634518,180.484264,9841.459016,4749.778058
492750,4,298.79,20.89,277.9,0,20,743.2506355,528.4092527,287.1982715,448.7137773,1085.193188,1288.522115,1189.55516,1391.302999,475.5287239,199.6598882,8290.280101,4285.21673
492751,4,240.18,0,240.18,0,20,749.4344512,543.2271341,297.6122967,442.1097561,1106.198171,1322.759146,1300.353659,1462.592988,466.2804878,184.1051829,8582.815657,5601.353535
492752,4,284.9,0,256.87,28.03,20,749.3106599,529.3284264,289.9304569,426.6152284,1059.229442,1258.187817,1285.575127,1347.363959,459.6659898,184.7497462,6624.087342,3177.225316
493057,4,285.34,0,285.34,0,20,747.8982794,534.4711538,293.5688259,433.2115385,1093.794534,1301.528846,1308.373988,1415.117409,444.8390688,174.1654858,5684.083544,3514.632911
493058,1,324.27,0,321.7,2.57,20,757.043956,557.2787213,307.8871129,451.3116883,1111.574426,1332.517483,1347.612388,1475.468531,531.3176823,211.6843157,10377.99874,5280.187421
493698,1,175.71,0,86.32,89.39,20,755.362,578.458,326.3,537.557,1561.815,1932.552,1884.943,2139.33,682.911,260.18,7447.104061,4089.695431
493699,1,270.92,0,195.63,75.29,20,759.8498498,584.8088088,328.3923924,602.4254254,1778.77978,2166.786787,1941.957958,2411.278278,742.1261261,277.9459459,9822.502655,4922.60535
493700,1,115.59,17.45,70.78,27.37,20,765.9670987,607.4935194,349.4915254,598.5324028,1670.326022,2075.003988,2091.115653,2317.080758,734.0299103,285.1226321,7470.537107,3234.576101
493701,1,188.06,18.88,151.08,18.1,20,769.4165834,600.3416583,339.5424575,584.3146853,1655.981019,2059.430569,2022.31968,2324.168831,693.1038961,263.0649351,8407.368687,4787.203283
493702,1,161.27,41.74,72.39,47.15,20,777.443,604.721,334.24,589.099,1725.936,2154.805,2040.509,2392.653,750.317,297.197,6140.21761,3711.710692
493703,1,161.08,5.93,148.62,6.53,20,766.58,603.835,336.002,620.349,1759.299,2137.718,2009.663,2382.309,757.418,302.871,7557.47019,4544.630898
493704,1,283.89,104.82,169.51,9.56,20,761.492016,540.0139721,305.1297405,481.4481038,1355.58982,1691.643713,1686.353293,1890.468064,638.2754491,257.50998,4188.022613,3282.712312
493705,4,188.77,24.31,95.66,68.8,20,743.9057273,529.6006082,295.9052205,449.0253421,1277.436898,1617.343639,1535.624937,1811.407501,604.9016726,241.6153066,7053.43073,4481.929471
